,Name,Club,Wage,Attack,Handling_Passing,Physical,Defense,Mental,Goal Keeping
47,I. Gündoğan,Manchester City,185.0,689.0,434.0,493.0,290.0,255.0,48.0
48,R. Nainggolan,Royal Antwerp FC,29.0,686.0,391.0,520.0,315.0,244.0,55.0
49,T. Delaney,Sevilla FC,34.0,637.0,376.0,551.0,334.0,232.0,60.0
50,Lucas Paquetá,Olympique Lyonnais,65.0,662.0,414.0,543.0,287.0,250.0,57.0
51,F. Kessié,AC Milan,51.0,618.0,396.0,558.0,330.0,239.0,54.0
52,R. Malinovskyi,Atalanta,68.0,727.0,418.0,523.0,266.0,229.0,52.0
53,K. Walker,Manchester City,170.0,624.0,385.0,567.0,331.0,228.0,57.0
54,R. Gosens,Atalanta,65.0,635.0,379.0,553.0,314.0,249.0,64.0
55,S. Mané,Liverpool,270.0,698.0,417.0,608.0,190.0,265.0,56.0
56,L. Pellegrini,Roma,61.0,656.0,413.0,553.0,288.0,239.0,53.0
57,D. Wass,Valencia CF,42.0,681.0,396.0,520.0,304.0,233.0,56.0
58,A. Hakimi,Paris Saint-Germain,100.0,603.0,396.0,599.0,307.0,242.0,46.0
59,Y. Tielemans,Leicester City,125.0,706.0,428.0,486.0,284.0,249.0,50.0
60,Ricardo Pereira,Leicester City,130.0,603.0,399.0,554.0,325.0,241.0,65.0
61,T. Hernández,AC Milan,51.0,627.0,382.0,576.0,319.0,244.0,43.0
62,Grimaldo,SL Benfica,18.0,639.0,406.0,560.0,298.0,243.0,50.0
63,21 Renato Augusto,Beijing Guoan FC,33.0,698.0,414.0,504.0,276.0,242.0,56.0
64,Neymar Jr,Paris Saint-Germain,270.0,746.0,447.0,560.0,161.0,268.0,59.0
65,K. Trippier,Atlético de Madrid,74.0,656.0,397.0,526.0,314.0,234.0,54.0
66,N. De la Cruz,River Plate,17.0,669.0,390.0,567.0,296.0,238.0,40.0
67,12 M. Ballack,Bayer 04 Leverkusen,30.0,723.0,397.0,480.0,308.0,0.0,51.0
68,Roberto Firmino,Liverpool,185.0,685.0,422.0,567.0,239.0,256.0,44.0
69,19 C. Marchisio,Juventus,130.0,668.0,419.0,527.0,312.0,242.0,17.0
70,R. De Paul,Atlético de Madrid,68.0,645.0,412.0,548.0,291.0,239.0,56.0
71,N. Kanté,Chelsea,230.0,531.0,399.0,577.0,363.0,249.0,54.0
72,A. Florenzi,AC Milan,58.0,687.0,401.0,526.0,294.0,227.0,48.0
73,Yuri Berchiche,Athletic Club de Bilbao,35.0,633.0,374.0,573.0,323.0,220.0,53.0
74,G. Bale,Real Madrid CF,170.0,768.0,401.0,526.0,220.0,245.0,52.0
75,Portu,Real Sociedad,51.0,663.0,390.0,581.0,257.0,241.0,67.0
76,A. Di María,Paris Saint-Germain,160.0,717.0,429.0,549.0,222.0,254.0,51.0
77,21 I. Fernández,River Plate,24.0,683.0,408.0,515.0,287.0,248.0,51.0
78,Jesús Navas,Sevilla FC,30.0,626.0,412.0,524.0,311.0,247.0,55.0
79,F. Valverde,Real Madrid CF,160.0,620.0,410.0,543.0,318.0,242.0,45.0
80,R. Guerreiro,Borussia Dortmund,79.0,653.0,430.0,511.0,292.0,251.0,45.0
81,L. Paredes,Paris Saint-Germain,81.0,658.0,413.0,501.0,322.0,238.0,48.0
82,K. Mbappé,Paris Saint-Germain,230.0,722.0,422.0,612.0,166.0,273.0,42.0
83,G. Lo Celso,Tottenham Hotspur,95.0,666.0,418.0,517.0,295.0,238.0,56.0
84,19 D. Srna,Cagliari,20.0,699.0,410.0,485.0,314.0,227.0,44.0
85,A. Kolarov,Inter,55.0,723.0,381.0,463.0,324.0,227.0,61.0
86,Fred,Manchester United,120.0,606.0,394.0,555.0,320.0,235.0,64.0
87,Carlos Soler,Valencia CF,39.0,678.0,410.0,516.0,286.0,237.0,51.0
88,19 C. Noboa,0,0.0,668.0,393.0,529.0,296.0,219.0,60.0
89,Rúben Neves,Wolverhampton Wanderers,89.0,694.0,417.0,472.0,308.0,229.0,56.0
90,Anderson Talisca,Al Nassr,61.0,728.0,412.0,544.0,216.0,241.0,59.0
91,J. Corona,FC Porto,22.0,636.0,405.0,543.0,295.0,250.0,50.0
92,Parejo,Villarreal CF,64.0,737.0,439.0,433.0,278.0,247.0,48.0
93,C. Tolisso,FC Bayern München,78.0,644.0,404.0,520.0,308.0,236.0,54.0
94,A. Witsel,Borussia Dortmund,72.0,662.0,411.0,498.0,318.0,248.0,36.0
95,Raúl García,Athletic Club de Bilbao,36.0,725.0,413.0,450.0,290.0,253.0,75.0
96,Fabinho,Liverpool,165.0,625.0,400.0,505.0,344.0,240.0,47.0
97,A. Robertson,Liverpool,175.0,591.0,402.0,542.0,333.0,245.0,50.0
98,T. Partey,Arsenal,115.0,616.0,424.0,512.0,329.0,238.0,49.0
99,L. Robertone,Unión Deportiva Almería,11.0,648.0,380.0,576.0,299.0,207.0,61.0
100,L. Provod,SK Slavia Praha,1.0,665.0,385.0,545.0,291.0,230.0,51.0
101,Renan Lodi,Atlético de Madrid,49.0,610.0,387.0,565.0,312.0,235.0,55.0
102,M. Arnold,VfL Wolfsburg,66.0,684.0,403.0,477.0,309.0,238.0,51.0
103,17 J. Vargas,Real Betis Balompié,20.0,689.0,365.0,485.0,308.0,204.0,50.0
104,I. Bennacer,AC Milan,41.0,618.0,416.0,544.0,301.0,224.0,62.0
105,E. Banega,Al Shabab,46.0,672.0,423.0,470.0,313.0,237.0,45.0
106,H. Herrera,Atlético de Madrid,63.0,620.0,392.0,532.0,315.0,240.0,54.0
107,Marcelo,Real Madrid CF,135.0,651.0,415.0,516.0,311.0,236.0,36.0
108,W. McKennie,Juventus,57.0,625.0,384.0,561.0,311.0,230.0,48.0
109,T. Lemar,Atlético de Madrid,71.0,678.0,416.0,534.0,251.0,240.0,60.0
110,I. Perišić,Inter,105.0,704.0,382.0,558.0,246.0,242.0,38.0
111,Arthur,Juventus,90.0,620.0,430.0,527.0,290.0,246.0,55.0
112,17 S. Gerrard,LA Galaxy,10.0,740.0,403.0,442.0,287.0,247.0,56.0
113,Capa,Athletic Club de Bilbao,32.0,593.0,375.0,591.0,316.0,228.0,54.0
114,P. Ševčík,SK Slavia Praha,1.0,644.0,389.0,566.0,280.0,222.0,54.0
115,Oscar,Shanghai Port FC,38.0,677.0,411.0,549.0,226.0,238.0,61.0
116,T. Kroos,Real Madrid CF,310.0,723.0,444.0,420.0,273.0,254.0,51.0
117,F. Mendy,Real Madrid CF,170.0,552.0,391.0,593.0,322.0,240.0,51.0
118,Alex Sandro,Juventus,95.0,630.0,381.0,555.0,316.0,230.0,40.0
119,Diogo Jota,Liverpool,120.0,667.0,391.0,570.0,243.0,252.0,54.0
120,L. Stindl,Borussia Mönchengladbach,41.0,711.0,414.0,490.0,251.0,252.0,53.0
121,M. Pjanić,Beşiktaş JK,155.0,683.0,414.0,483.0,296.0,235.0,42.0
122,J. Tavernier,Rangers FC,50.0,663.0,366.0,555.0,289.0,221.0,59.0
123,O. Zinchenko,Manchester City,95.0,635.0,400.0,513.0,306.0,233.0,61.0
124,Pizzi,SL Benfica,19.0,671.0,412.0,509.0,258.0,251.0,62.0
125,17 P. Lahm,FC Bayern München,200.0,587.0,413.0,520.0,333.0,254.0,47.0
126,H. Mkhitaryan,Roma,82.0,684.0,405.0,561.0,237.0,248.0,42.0
127,M. Rashford,Manchester United,150.0,720.0,402.0,573.0,186.0,247.0,53.0
128,L. Martínez,Inter,145.0,665.0,400.0,596.0,206.0,258.0,48.0
129,H. Son,Tottenham Hotspur,220.0,726.0,412.0,551.0,168.0,271.0,53.0
130,D. van de Beek,Manchester United,110.0,659.0,399.0,509.0,290.0,245.0,51.0
131,T. Koopmeiners,Atalanta,41.0,667.0,387.0,504.0,300.0,227.0,58.0
132,J. Milner,Liverpool,76.0,685.0,396.0,461.0,322.0,239.0,45.0
133,19 Filipe Luís,Atlético de Madrid,80.0,618.0,387.0,518.0,335.0,244.0,49.0
134,Sérgio Oliveira,FC Porto,19.0,716.0,404.0,454.0,281.0,239.0,50.0
135,A. Golovin,AS Monaco,53.0,621.0,399.0,542.0,287.0,237.0,66.0
136,Z. Junuzović,FC Red Bull Salzburg,27.0,679.0,390.0,529.0,273.0,221.0,58.0
137,20 T. Vilhena,0,0.0,636.0,385.0,549.0,296.0,227.0,60.0
138,M. Hamšík,Trabzonspor,35.0,685.0,410.0,508.0,260.0,242.0,46.0
139,J. Ward-Prowse,Southampton,69.0,692.0,409.0,491.0,279.0,217.0,64.0
140,C. Aránguiz,Bayer 04 Leverkusen,53.0,644.0,395.0,501.0,315.0,222.0,55.0
141,Ander Herrera,Paris Saint-Germain,78.0,637.0,397.0,495.0,321.0,238.0,53.0
142,Fernandinho,Manchester City,100.0,634.0,387.0,490.0,336.0,237.0,48.0
143,M. Uribe,FC Porto,17.0,605.0,387.0,546.0,300.0,234.0,66.0
144,G. Bonaventura,Fiorentina,52.0,685.0,404.0,491.0,276.0,229.0,60.0
145,G. Kondogbia,Atlético de Madrid,58.0,602.0,393.0,530.0,325.0,241.0,53.0
146,Lucas Vázquez,Real Madrid CF,170.0,637.0,394.0,544.0,279.0,236.0,50.0
147,16 Michel Bastos,São Paulo,80.0,674.0,386.0,536.0,270.0,0.0,58.0
148,K. Laimer,RB Leipzig,65.0,587.0,392.0,543.0,323.0,229.0,58.0
149,16 Maicon,Roma,70.0,671.0,377.0,512.0,305.0,0.0,46.0
150,T. Müller,FC Bayern München,140.0,708.0,410.0,506.0,223.0,274.0,52.0
151,17 B. Trémoulinas,Sevilla FC,20.0,615.0,383.0,547.0,305.0,231.0,52.0
152,A. Rabiot,Juventus,87.0,620.0,403.0,528.0,305.0,238.0,52.0
153,16 Raúl Meireles,Fenerbahçe SK,80.0,676.0,383.0,507.0,296.0,0.0,47.0
154,J. Vardy,Leicester City,180.0,689.0,370.0,544.0,242.0,271.0,62.0
155,J. Kucka,Watford,33.0,652.0,377.0,502.0,319.0,229.0,54.0
156,P. Dybala,Juventus,160.0,749.0,440.0,560.0,165.0,241.0,26.0
157,T. Savanier,Montpellier Hérault SC,35.0,657.0,412.0,488.0,301.0,234.0,58.0
158,Campaña,Levante Unión Deportiva,43.0,669.0,420.0,504.0,271.0,239.0,42.0
159,21 Hulk,Shanghai Port FC,20.0,711.0,392.0,570.0,208.0,237.0,46.0
160,Adryan Zonta,RB Bragantino,24.0,617.0,365.0,583.0,284.0,225.0,60.0
161,Jorginho,Chelsea,170.0,641.0,435.0,471.0,312.0,232.0,56.0
162,Jonathan Viera,Unión Deportiva Las Palmas,15.0,659.0,406.0,539.0,247.0,232.0,64.0
163,Gerson,Olympique de Marseille,41.0,584.0,403.0,528.0,322.0,236.0,58.0
164,I. Rakitić,Sevilla FC,39.0,713.0,416.0,421.0,295.0,239.0,51.0
165,Marcos Alonso,Chelsea,95.0,705.0,381.0,466.0,304.0,232.0,50.0
166,Allan,Everton,100.0,569.0,403.0,535.0,336.0,246.0,44.0
167,L. Shaw,Manchester United,140.0,568.0,394.0,551.0,325.0,243.0,49.0
168,R. Vormer,Club Brugge KV,28.0,684.0,379.0,484.0,302.0,234.0,49.0
169,21 Santi Cazorla,0,0.0,707.0,428.0,460.0,263.0,249.0,42.0
170,Bernardo Silva,Manchester City,200.0,654.0,428.0,544.0,232.0,254.0,54.0
171,C. Erkin,Fatih Karagümrük S.K.,14.0,690.0,374.0,491.0,303.0,230.0,53.0
172,Danilo,Juventus,83.0,646.0,367.0,503.0,328.0,227.0,53.0
173,A. Correa,Atlético de Madrid,80.0,680.0,407.0,550.0,224.0,244.0,56.0
174,C. Nkunku,RB Leipzig,72.0,650.0,416.0,523.0,270.0,235.0,43.0
175,M. Reus,Borussia Dortmund,95.0,716.0,421.0,513.0,192.0,256.0,61.0
176,João Moutinho,Wolverhampton Wanderers,88.0,687.0,413.0,461.0,282.0,232.0,69.0
177,D. Caligiuri,FC Augsburg,26.0,681.0,374.0,508.0,285.0,226.0,55.0
178,K. Volland,AS Monaco,83.0,727.0,397.0,558.0,208.0,257.0,43.0
179,B. Bourigeaud,Stade Rennais FC,47.0,672.0,391.0,511.0,272.0,233.0,62.0
180,M. Kovačić,Chelsea,135.0,614.0,434.0,530.0,290.0,234.0,34.0
181,Juan Bernat,Paris Saint-Germain,90.0,576.0,395.0,550.0,313.0,237.0,56.0
182,Richarlison,Everton,100.0,680.0,383.0,564.0,236.0,246.0,51.0
183,D. Klaassen,Ajax,21.0,644.0,389.0,509.0,292.0,247.0,57.0
184,Carvajal,Real Madrid CF,210.0,537.0,392.0,559.0,331.0,239.0,65.0
185,Rafinha,Paris Saint-Germain,86.0,639.0,416.0,513.0,280.0,236.0,52.0
186,E. Bardhi,Levante Unión Deportiva,32.0,715.0,393.0,489.0,256.0,238.0,51.0
187,A. Oxlade-Chamberlain,Liverpool,100.0,610.0,400.0,548.0,290.0,234.0,49.0
188,M. Casco,River Plate,17.0,614.0,373.0,563.0,298.0,231.0,54.0
189,M. Dembélé,Guangzhou City,21.0,600.0,413.0,535.0,292.0,228.0,71.0
190,O. Trejo,Rayo Vallecano,19.0,645.0,380.0,540.0,277.0,218.0,62.0
191,R. Karsdorp,Roma,51.0,603.0,377.0,536.0,309.0,230.0,65.0
192,B. André,LOSC Lille,43.0,583.0,382.0,544.0,330.0,227.0,54.0
193,19 Ramires,Jiangsu FC,30.0,602.0,385.0,546.0,312.0,226.0,48.0
194,Morales,Levante Unión Deportiva,41.0,695.0,392.0,544.0,215.0,248.0,64.0
195,K. Boateng,Hertha BSC,46.0,685.0,396.0,492.0,285.0,230.0,54.0
196,Gerard Moreno,Villarreal CF,73.0,717.0,405.0,535.0,185.0,254.0,56.0
197,T. Ndombele,Tottenham Hotspur,95.0,616.0,429.0,520.0,288.0,240.0,46.0
198,M. de Roon,Atalanta,59.0,609.0,369.0,515.0,334.0,230.0,60.0
199,N. Fekir,Real Betis Balompié,42.0,692.0,420.0,564.0,185.0,250.0,61.0
200,R. Pereyra,Udinese Calcio,23.0,651.0,406.0,528.0,287.0,236.0,24.0
201,K. Benzema,Real Madrid CF,350.0,742.0,423.0,542.0,144.0,271.0,41.0
202,M. Sanson,Aston Villa,56.0,645.0,385.0,523.0,289.0,227.0,56.0
203,18 Gabi,Atlético de Madrid,60.0,650.0,399.0,479.0,317.0,235.0,43.0
204,N. Stanciu,SK Slavia Praha,1.0,683.0,399.0,525.0,240.0,230.0,56.0
205,G. Moreno,Shanghai Shenhua FC,15.0,688.0,381.0,548.0,243.0,221.0,62.0
206,D. Alli,Tottenham Hotspur,90.0,679.0,411.0,503.0,255.0,247.0,41.0
207,H. Aouar,Olympique Lyonnais,65.0,642.0,417.0,524.0,261.0,239.0,48.0
208,P. Zieliński,Napoli,74.0,634.0,421.0,510.0,274.0,232.0,50.0
209,M. Antonio,West Ham United,79.0,656.0,376.0,578.0,237.0,233.0,57.0
210,A. Davies,FC Bayern München,59.0,569.0,371.0,587.0,311.0,230.0,47.0
211,Fabián,Napoli,77.0,646.0,414.0,465.0,297.0,240.0,60.0
212,17 Maxwell,Paris Saint-Germain,80.0,621.0,396.0,518.0,302.0,229.0,48.0
213,E. Pérez,River Plate,15.0,604.0,396.0,505.0,324.0,233.0,55.0
214,19 Y. Rakitskyi,Shakhtar Donetsk,2.0,622.0,379.0,522.0,330.0,207.0,53.0
215,M. Locatelli,Juventus,74.0,620.0,408.0,483.0,307.0,233.0,59.0
216,18 Eliseu,SL Benfica,15.0,645.0,345.0,524.0,314.0,217.0,72.0
217,M. Arnautović,Bologna,48.0,711.0,395.0,550.0,196.0,236.0,64.0
218,W. Ndidi,Leicester City,120.0,570.0,369.0,526.0,352.0,235.0,54.0
219,Álex Berenguer,Athletic Club de Bilbao,32.0,641.0,385.0,540.0,267.0,236.0,57.0
220,R. Sterling,Manchester City,290.0,656.0,407.0,570.0,189.0,259.0,63.0
221,P. Max,PSV,22.0,620.0,377.0,542.0,298.0,223.0,57.0
222,A. Guardado,Real Betis Balompié,24.0,636.0,401.0,507.0,300.0,222.0,48.0
223,G. Di Lorenzo,Napoli,63.0,609.0,363.0,571.0,304.0,218.0,43.0
224,Gabriel,SL Benfica,14.0,649.0,384.0,489.0,301.0,230.0,64.0
225,M. Camara,Olympiacos CFP,1.0,612.0,379.0,541.0,306.0,228.0,49.0
226,L. Spinazzola,Roma,72.0,574.0,377.0,550.0,303.0,228.0,65.0
227,21 Wendel,Sporting CP,15.0,631.0,402.0,517.0,289.0,234.0,45.0
228,A. Claude-Maurice,OGC Nice,28.0,628.0,386.0,553.0,264.0,217.0,68.0
229,T. Souček,West Ham United,81.0,613.0,380.0,517.0,320.0,234.0,43.0
230,D. Tadić,Ajax,32.0,721.0,427.0,524.0,157.0,254.0,61.0
231,R. Delgado,Club Atlético Colón,12.0,617.0,362.0,559.0,300.0,225.0,54.0
232,W. Ben Yedder,AS Monaco,88.0,721.0,402.0,568.0,165.0,261.0,42.0
233,R. Skov,TSG Hoffenheim,29.0,701.0,359.0,500.0,268.0,217.0,70.0
234,Cucurella,Brighton & Hove Albion,63.0,572.0,399.0,550.0,304.0,235.0,50.0
235,19 F. Guarín,Shanghai Shenhua FC,15.0,665.0,373.0,508.0,287.0,217.0,66.0
236,J. McGinn,Aston Villa,58.0,603.0,397.0,537.0,296.0,216.0,56.0
237,M. Faraoni,Hellas Verona,27.0,648.0,366.0,519.0,292.0,222.0,59.0
238,R. Rodríguez,Torino F.C.,38.0,657.0,366.0,503.0,303.0,213.0,66.0
239,M. Wakaso,Shenzhen FC,8.0,601.0,349.0,579.0,297.0,219.0,62.0
240,Y. Bissouma,Brighton & Hove Albion,50.0,609.0,391.0,523.0,314.0,222.0,48.0
241,V. van Dijk,Liverpool,230.0,574.0,376.0,519.0,351.0,224.0,58.0
242,Ai Kesen,Guangzhou FC,32.0,694.0,376.0,587.0,205.0,228.0,47.0
243,Gedson Fernandes,SL Benfica,13.0,612.0,391.0,535.0,299.0,226.0,45.0
244,15 Xavi,FC Barcelona,160.0,662.0,450.0,474.0,244.0,0.0,46.0
245,K. Demirbay,Bayer 04 Leverkusen,55.0,650.0,407.0,485.0,262.0,239.0,68.0
246,S. McTominay,Manchester United,90.0,630.0,388.0,498.0,319.0,228.0,42.0
247,I. Gueye,Paris Saint-Germain,88.0,560.0,381.0,541.0,339.0,232.0,47.0
248,D. Suárez,Getafe CF,28.0,638.0,359.0,516.0,321.0,211.0,56.0
249,19 Jefferson,Sporting CP,10.0,657.0,368.0,516.0,294.0,199.0,63.0
250,Embarba,RCD Espanyol de Barcelona,26.0,671.0,390.0,545.0,238.0,230.0,50.0
251,E. Haaland,Borussia Dortmund,110.0,694.0,362.0,572.0,201.0,261.0,52.0
252,A. Silva,Club Olimpia,2.0,609.0,365.0,573.0,274.0,218.0,65.0
253,T. Holeš,SK Slavia Praha,1.0,595.0,358.0,558.0,319.0,224.0,45.0
254,Gerson Armão,Internacional,20.0,674.0,343.0,517.0,313.0,206.0,51.0
255,A. Rebić,AC Milan,54.0,689.0,386.0,543.0,204.0,239.0,67.0
256,L. Advíncula,Boca Juniors,15.0,600.0,348.0,608.0,277.0,198.0,62.0
257,M. Cornet,Burnley,25.0,634.0,352.0,572.0,274.0,213.0,58.0
258,R. Bentancur,Juventus,61.0,604.0,403.0,513.0,304.0,222.0,55.0
259,M. Mount,Chelsea,120.0,682.0,419.0,498.0,225.0,249.0,56.0
260,Melvin Parrela,RB Bragantino,15.0,619.0,368.0,516.0,317.0,218.0,55.0
261,Raphinha,Leeds United,89.0,655.0,392.0,570.0,223.0,241.0,50.0
262,L. Torreira,Fiorentina,77.0,598.0,381.0,528.0,327.0,223.0,39.0
263,R. James,Chelsea,76.0,598.0,377.0,551.0,303.0,213.0,51.0
264,Ronaldo Cabrais,Grêmio,49.0,698.0,416.0,559.0,170.0,247.0,65.0
265,Rodri,Manchester City,175.0,588.0,409.0,493.0,321.0,238.0,49.0
266,D. Blind,Ajax,23.0,620.0,413.0,459.0,318.0,233.0,55.0
267,Gayà,Valencia CF,48.0,559.0,392.0,532.0,322.0,236.0,53.0
268,E. Salvio,Boca Juniors,23.0,663.0,383.0,553.0,242.0,243.0,48.0
269,R. Baku,VfL Wolfsburg,59.0,575.0,379.0,574.0,293.0,230.0,46.0
270,R. Tapia,RC Celta de Vigo,25.0,600.0,374.0,522.0,324.0,213.0,60.0
271,Mário Fernandes,PFC CSKA Moscow,57.0,550.0,384.0,548.0,315.0,232.0,64.0
272,Andreas Pereira,Manchester United,76.0,660.0,386.0,507.0,279.0,213.0,53.0
273,U. Račić,Valencia CF,31.0,638.0,388.0,490.0,299.0,224.0,53.0
274,Pedro Gonçalves,Sporting CP,19.0,658.0,409.0,509.0,237.0,254.0,56.0
275,Sergi Darder,RCD Espanyol de Barcelona,24.0,644.0,405.0,486.0,290.0,233.0,46.0
276,F. Coquelin,Villarreal CF,39.0,557.0,404.0,518.0,329.0,236.0,51.0
277,A. Young,Aston Villa,42.0,639.0,365.0,495.0,303.0,226.0,72.0
278,Diogo Gonçalves,SL Benfica,12.0,640.0,358.0,545.0,283.0,225.0,50.0
279,J. Lingard,Manchester United,115.0,672.0,382.0,524.0,234.0,241.0,54.0
280,A. Tchouaméni,AS Monaco,41.0,579.0,399.0,527.0,307.0,234.0,48.0
281,E. Cavani,Manchester United,190.0,730.0,357.0,503.0,222.0,268.0,53.0
282,R. Bazoer,Vitesse,14.0,616.0,398.0,521.0,290.0,224.0,53.0
283,L. Dendoncker,Wolverhampton Wanderers,71.0,651.0,383.0,471.0,305.0,226.0,56.0
284,21 Fernando,Beijing Guoan FC,24.0,615.0,384.0,535.0,315.0,190.0,52.0
285,21 M. Parolo,Lazio,40.0,629.0,388.0,471.0,319.0,240.0,44.0
286,N. Gudelj,Sevilla FC,30.0,669.0,380.0,468.0,308.0,220.0,53.0
287,R. Soriano,Bologna,35.0,641.0,398.0,507.0,270.0,223.0,61.0
288,Roberto Torres,CA Osasuna,30.0,674.0,390.0,480.0,275.0,236.0,52.0
289,R. Perraud,Southampton,41.0,641.0,369.0,507.0,304.0,220.0,47.0
290,L. Olaza,Real Valladolid CF,13.0,643.0,360.0,518.0,302.0,216.0,56.0
291,R. Jiménez,Wolverhampton Wanderers,120.0,700.0,400.0,523.0,202.0,247.0,55.0
292,P. Højbjerg,Tottenham Hotspur,105.0,614.0,392.0,479.0,325.0,229.0,50.0
293,F. Bernardeschi,Juventus,77.0,678.0,402.0,509.0,232.0,220.0,64.0
294,J. Rodríguez,Everton,105.0,758.0,429.0,425.0,200.0,250.0,64.0
295,M. Ødegaard,Arsenal,89.0,662.0,420.0,503.0,228.0,226.0,62.0
296,K. Phillips,Leeds United,82.0,585.0,388.0,524.0,322.0,220.0,50.0
297,D. Kulusevski,Juventus,72.0,650.0,398.0,546.0,244.0,240.0,44.0
298,W. Cyprien,FC Nantes,25.0,642.0,367.0,519.0,292.0,216.0,57.0
299,B. Matuidi,Inter Miami CF,11.0,583.0,371.0,550.0,316.0,219.0,48.0
300,E. Camavinga,Real Madrid CF,44.0,584.0,396.0,526.0,307.0,232.0,50.0
301,M. Oršić,Dinamo Zagreb,1.0,695.0,348.0,560.0,219.0,232.0,56.0
302,Otávio,FC Porto,19.0,631.0,409.0,508.0,258.0,240.0,57.0
303,J. Fleck,Sheffield United,29.0,628.0,375.0,532.0,297.0,217.0,41.0
304,Lucas Moura,Tottenham Hotspur,105.0,660.0,378.0,593.0,215.0,238.0,54.0
